Alignment Theta Pi TajimasD PiN NumN PiS NumS
FUN_000007-T1 0.0040191813801 0.00248181216931 -1.25408148546 1.39969135802 788.435185185 0.916666666667 171.564814815
FUN_000008-T1 0.00784810565345 0.00704929521498 -0.381369925568 22.3364197531 3556.50925926 8.29012345679 838.490740741
FUN_000009-T1 0.0146611647828 0.0179062260823 0.772814526563 6.10030864198 382.777777778 2.2037037037 94.2222222222
FUN_000012-T1 0.00380965059725 0.00411996288774 0.248133257021 1.11574074074 515.851851852 1.41975308642 117.148148148
FUN_000013-T1 0.00281499084988 0.00393840199288 1.19182453528 0.836419753086 611.5 2.11574074074 159.5
FUN_000015-T1 0.0017863028356 0.00190476190476 0.187874081384 0.62037037037 724.675925926 1.12962962963 220.324074074
FUN_000016-T1 0.00394520871666 0.00389197260363 -0.0393524045404 0.560185185185 400.296296296 1.29012345679 88.7037037037
FUN_000018-T1 0.0026794542534 0.0029318888049 0.319063599838 2.68981481481 1536.39814815 2.6975308642 353.601851852
FUN_000021-T1 0.000641358730867 0.000503771248452 -0.48040793042 0.498456790123 924.546296296 0.054012345679 203.453703704
FUN_000022-T1 0.00350306337603 0.00391614325374 0.406391704863 4.79783950617 1395.89814815 2.0 326.101851852
FUN_000025-T1 0.00259302024523 0.00409092848609 1.89393245086 0.924382716049 1188.0462963 4.99382716049 299.953703704
FUN_000028-T1 0.00524241049579 0.00722528947167 1.2586701745 2.70061728395 666.537037037 3.11574074074 161.462962963
FUN_000032-T1 0.0251767588338 0.01438754118 -1.58375390041 9.04063786008 634.990740741 2.68621399177 163.009259259
FUN_000034-T1 0.00455288010333 0.0049287262629 0.289030157555 5.25308641975 1285.24074074 2.7762345679 304.759259259
FUN_000036-T1 0.00398926191573 0.00465162078065 0.559318171644 1.2037037037 972.814814815 4.26388888889 236.185185185
FUN_000037-T1 0.00787139380079 0.00629425525568 -0.706690053343 3.41975308642 818.842592593 2.76697530864 192.157407407
FUN_000039-T1 0.000595434278534 0.00112874779541 1.31880954513 0.0 325.333333333 0.444444444444 79.6666666667
FUN_000062-T1 0.0080383627602 0.0103751803752 0.90062775487 1.4737654321 271.398148148 1.8549382716 58.6018518519
FUN_000063-T1 0.0076787999074 0.00644427596664 -0.576259459909 5.08487654321 1079.35185185 3.33487654321 240.648148148
FUN_000067-T1 0.000546827398653 0.000125976316453 -1.1332128884 0.0 355.333333333 0.054012345679 85.6666666667
FUN_000068-T1 0.00204799051215 0.000471809389007 -1.88514002132 0.108024691358 374.314814815 0.108024691358 96.6851851852
FUN_000070-T1 0.00373298580195 0.00377741739971 0.0386842475207 1.62808641975 770.925925926 1.93055555556 198.074074074
FUN_000071-T1 0.00766198457076 0.00619613880483 -0.696843642741 6.01543209877 1448.87037037 4.79166666667 345.12962963
FUN_000072-T1 0.00252778703151 0.00272425765088 0.252612998375 1.49074074074 1157.78703704 2.29938271605 273.212962963
FUN_000073-T1 0.00173489843745 0.00250466293632 0.9936102823 1.01543209877 346.953703704 0.0 70.0462962963
FUN_000074-T1 0.00129651012261 0.00153183137054 0.352673424413 0.401234567901 305.907407407 0.152777777778 66.0925925926
FUN_000076-T1 0.00199463095787 0.00141531109273 -0.884763119064 0.796296296296 987.833333333 0.867283950617 221.166666667
FUN_000083-T1 0.00434506095146 0.00257638590972 -1.27947534652 1.56018518519 548.092592593 0.108024691358 117.907407407
FUN_000089-T1 0.00626365929367 0.00406788978218 -0.957848029493 0.655864197531 179.009259259 0.257716049383 51.9907407407
FUN_000094-T1 0.0 0.0 None 0.0 470.333333333 0.0 120.666666667
FUN_000095-T1 0.0 0.0 None 0.0 436.0 0.0 86.0
FUN_000100-T1 0.0 0.0 None 0.0 1067.66666667 0.0 276.333333333
FUN_000106-T1 0.00282047816148 0.0016290726817 -1.03467101678 0.487654320988 275.925925926 0.054012345679 66.0740740741
FUN_000125-T1 0.0163164014743 0.0137323430901 -0.577750386188 9.68904320988 700.833333333 2.1087962963 172.166666667
FUN_000127-T1 0.00472040025918 0.00545221209051 0.530010225045 1.40586419753 958.87037037 5.0262345679 217.12962963
FUN_000129-T1 0.00529659561719 0.0046696197859 -0.418419999477 4.88271604938 1230.40740741 2.1450617284 317.592592593
FUN_000130-T1 0.00742002716327 0.00497391497391 -1.1848732589 5.14351851852 1172.71296296 1.9274691358 258.287037037
FUN_000132-T1 0.00994436630128 0.00669830360552 -1.02602876909 1.12037037037 235.037037037 0.774691358025 55.962962963
FUN_000136-T1 0.0120716906528 0.0134948569442 0.440733533432 21.8310185185 2065.86111111 13.7615740741 496.138888889
FUN_000137-T1 0.00700780343197 0.00637362637363 -0.332087217065 7.84722222222 1912.90740741 6.65277777778 427.092592593
FUN_000139-T1 0.00611875374284 0.00832977967306 1.30917056998 9.43518518519 1625.19444444 6.84259259259 384.805555556
FUN_000141-T1 0.00429530834515 0.00569893776001 0.925788447534 1.14814814815 313.388888889 1.02932098765 79.6111111111
FUN_000142-T1 0.0114546669333 0.0150972222222 1.18569128849 28.9459876543 1940.38888889 6.28086419753 459.611111111
FUN_000143-T1 0.0025460877521 0.00215231391702 -0.438154351993 1.28240740741 555.694444444 0.104938271605 107.305555556
FUN_000145-T1 0.000784230513191 0.000180668473351 -1.49542861119 0.054012345679 501.0 0.054012345679 114.0
