Alignment Theta Pi TajimasD PiN NumN PiS NumS
M896_010050 0.0172264016754 0.0187459389214 0.437046800394 28.19 1657.56666667 7.91 397.433333333
M896_010080 0.0 0.0 None 0.0 554.333333333 0.0 150.666666667
M896_010090 0.0 0.0 None 0.0 457.0 0.0 101.0
M896_010110 0.00076512069779 0.0010101010101 0.819795688532 0.42 368.766666667 0.0 93.2333333333
M896_010120 0.000853830343911 0.00134192163178 1.46363864356 0.5 330.333333333 0.0 83.6666666667
M896_010130 0.00119622931431 0.00141003948111 0.686229081932 1.32 962.0 0.18 220.0
M896_010140 0.0016713274817 0.00178618334647 0.221711048181 0.5 337.333333333 0.18 85.6666666667
M896_010150 0.00388445892724 0.0041514041514 0.247250383388 0.18 217.933333333 0.84 55.0666666667
M896_010180 0.0 0.0 None 0.0 338.0 0.0 88.0
M896_010210 0.00133139646847 0.00209248796819 1.84427289854 1.0 427.5 0.0 103.5
M896_010250 0.000592103454571 0.000335008375209 -1.40085080218 0.0 960.4 0.36 233.6
M896_010270 0.00076512069779 0.0012025012025 2.19474808443 2.0 1479.66666667 0.0 368.333333333
M896_010280 0.0 0.0 None 0.0 497.666666667 0.0 135.333333333
M896_010300 0.00329590454433 0.0042994042994 1.16895516273 1.66 338.666666667 0.0 90.3333333333
M896_010310 0.00341982707667 0.00428026971563 1.1266341552 3.96 928.866666667 0.42 208.133333333
M896_010330 0.0 0.0 None 0.0 489.333333333 0.0 137.666666667
M896_010340 0.00275622426806 0.0035520901018 1.10861440263 0.48 410.4 1.16 102.6
M896_010350 0.00236603589276 0.00306410828499 1.18305694268 1.74 587.3 0.32 159.7
M896_010380 0.00159948308769 0.00248030836266 1.98132385158 1.0 537.6 0.48 125.4
M896_010390 0.00165955756985 0.00260824204486 1.46363864356 0.0 172.333333333 0.5 40.6666666667
M896_010400 0.00268402249339 0.00377963384797 1.80930058816 3.38 1048.9 1.1 268.1
M896_010410 0.00238037550424 0.00224466891134 -0.183929414409 0.6 238.866666667 0.0 58.1333333333
M896_010420 0.00277243735199 0.00400871459695 1.43863243595 0.5 210.166666667 0.42 44.8333333333
M896_010430 0.00510590545659 0.00651851851852 1.25893710752 4.28 716.766666667 1.0 183.233333333
M896_010440 0.00185556830645 0.00274132400117 1.83270352383 1.88 604.633333333 0.0 157.366666667
M896_010450 0.00118025296287 0.00149632102888 1.10787400628 1.02 1479.66666667 1.4 317.333333333
M896_010460 0.0037887005614 0.00464451589854 1.00122142373 2.42 745.466666667 1.48 187.533333333
M896_010470 0.00293105938954 0.00331674958541 0.527643382291 1.62 487.8 0.18 115.2
M896_010480 0.00283924307132 0.00379294957608 1.28963668293 0.48 393.0 1.22 105.0
M896_010500 0.00260063096261 0.00311890838207 0.906853523529 4.06 1427.03333333 0.9 339.966666667
M896_010510 0.000770121486665 0.00116194625999 1.3026779048 0.48 363.333333333 0.0 95.6666666667
M896_010530 0.00206264485706 0.00265823810682 1.24578426344 2.62 1099.46666667 0.66 271.533333333
M896_010560 0.0 0.0 None 0.0 375.0 0.0 102.0
M896_010570 0.00168326553514 0.00253968253968 1.64145266725 0.0 344.333333333 0.96 75.6666666667
M896_010590 0.00176522228404 0.00255236509918 1.71202200363 1.34 637.666666667 0.5 163.333333333
M896_010610 0.000738737225452 0.00106815279229 1.43863243595 0.0 766.666666667 0.92 190.333333333
M896_010630 0.00124686335936 0.000979815794631 -0.690979992648 0.18 453.333333333 0.32 113.666666667
M896_010650 0.00114396686854 0.00165408126573 1.43863243595 0.92 492.2 0.0 125.8
M896_010670 0.00238640177134 0.00273792780122 0.635523272076 2.02 938.166666667 0.9 246.833333333
M896_010680 0.00174130917428 0.00207991242474 0.699617375091 1.14 473.333333333 0.0 135.666666667
M896_010700 0.00130920652733 0.00135802469136 0.120300932534 0.66 432.8 0.0 107.2
M896_010710 0.000363668479814 0.000480109739369 0.819795688532 0.42 782.333333333 0.0 189.666666667
M896_010720 0.00204327030277 0.00304003425391 2.01814029173 2.34 821.9 0.5 216.1
M896_010730 0.00314209566559 0.00414814814815 1.22929592283 1.5 356.5 0.18 93.5
M896_010740 0.00113296718711 0.00137701804368 0.775011873709 1.16 740.333333333 0.0 195.666666667
M896_010750 0.00182679980558 0.00241171403962 1.22929592283 1.68 621.4 0.0 152.6
M896_010770 0.0 0.0 None 0.0 268.0 0.0 71.0
M896_010780 0.00108597776461 0.00170677590032 1.84427289854 1.0 528.666666667 0.0 122.333333333
M896_010790 0.00183153244756 0.00253310305124 1.37816786265 1.32 462.666666667 0.0 116.333333333
M896_010800 0.00205514978127 0.00232558139535 0.47343387924 0.66 425.0 0.42 91.0
M896_010810 0.000913399902788 0.0014355440712 1.46363864356 0.5 305.0 0.0 82.0
M896_010820 0.00188525739935 0.00242962962963 0.931581857715 0.5 285.666666667 0.32 89.3333333333
M896_010840 0.000709810767829 0.00111557340473 1.46363864356 0.5 396.5 0.0 101.5
M896_010850 0.00133896122113 0.00210437710438 1.46363864356 0.5 218.0 0.0 46.0
M896_010860 0.0 0.0 None 0.0 391.0 0.0 98.0
M896_010870 0.00166542173088 0.00209396675828 0.987932882432 0.68 672.1 0.92 176.9
M896_010880 0.00140272127928 0.00220458553792 1.46363864356 0.5 196.166666667 0.0 55.8333333333
M896_010890 0.00324028615514 0.00357407407407 0.46126699944 3.54 982.966666667 0.32 217.033333333
M896_010900 0.00157894254552 0.00196662323966 1.13661101204 5.66 2860.63333333 0.68 721.366666667
M896_010920 0.00316015368666 0.00303675322832 -0.165395595871 0.86 618.266666667 1.28 164.733333333
M896_010930 0.00112934748364 0.00108862856467 -0.129722109698 0.92 768.066666667 0.0 170.933333333
M896_010940 0.00439112748297 0.00690131124914 2.36490840047 1.5 388.0 1.5 95.0
M896_010950 0.00124686335936 0.00172447579855 1.5846801558 0.98 1375.33333333 1.66 325.666666667
M896_010970 0.00107606015945 0.00128530356841 0.746569842032 1.02 1054.33333333 0.5 259.666666667
M896_010980 0.00114396686854 0.00146230372768 1.00119536956 0.32 719.333333333 0.9 207.666666667
M896_010990 0.00150740197177 0.00172155097528 0.587721843162 2.0 1144.63333333 0.18 262.366666667
M896_011010 0.00336653107028 0.00491005291005 1.83847050307 2.0 429.8 0.32 95.2
M896_011030 0.00124686335936 0.0013325494807 0.221711048181 0.5 456.333333333 0.18 110.666666667
M896_011060 0.00106874002231 0.00134374737549 0.987932882432 1.1 1051.86666667 0.5 271.133333333
M896_011070 0.0017534015991 0.0022266313933 1.08222408723 2.02 810.266666667 0.0 197.733333333
M896_011080 0.00132391671303 0.00208073241781 1.84427289854 0.5 427.166666667 0.5 106.833333333
M896_011110 0.00102163515138 0.00130593020766 1.00119536956 1.22 826.533333333 0.0 211.466666667
M896_011120 0.000879317816863 0.00130827344758 1.75514035573 0.92 970.1 0.5 235.9
M896_011130 0.00125349561127 0.000945626477541 -0.942971440764 0.78 915.033333333 0.18 212.966666667
M896_011140 0.00158424991542 0.00204170557112 1.24578426344 1.34 1404.66666667 1.94 380.333333333
M896_011190 0.00271912124907 0.0037037037037 1.30277336403 0.98 307.5 0.32 82.5
M896_011200 0.00133139646847 0.00200878844947 1.64145266725 0.48 407.6 0.48 123.4
M896_011210 0.00259916001749 0.00408496732026 2.0567183502 0.0 331.0 1.5 77.0
M896_011230 0.00246117153963 0.00326854269413 1.41530120548 1.96 927.133333333 1.42 221.866666667
M896_011260 0.00267792244227 0.00384399551066 1.80141022376 1.9 636.766666667 0.84 155.233333333
M896_011280 0.00298720362574 0.00390193009911 1.34084430413 2.74 851.566666667 1.0 213.433333333
M896_011290 0.0 0.0 None 0.0 436.666666667 0.0 109.333333333
M896_011300 0.00342524963546 0.00499569336779 1.83847050307 1.32 421.8 1.0 94.2
M896_011320 0.00685049927091 0.0083548664944 0.880558376346 1.94 202.666666667 0.0 55.3333333333
M896_011340 0.0 0.0 None 0.0 220.666666667 0.0 61.3333333333
