Alignment	Theta	Pi	TajimasD	PiN	NumN	PiS	NumS
M896_110400	0.000580436391427	0.000766283524904	0.819795688532	0.0	491.0	0.42	118.0
M896_052060	0.00110120175196	0.00106149763471	-0.129722109698	0.0	756.333333333	0.92	206.666666667
M896_031440	0.00329590454433	0.004921004921	1.89304428393	1.4	341.133333333	0.5	87.8666666667
M896_060680	0.00132391671303	0.00203911776945	1.7428627829	0.0	428.666666667	0.98	105.333333333
M896_012020	0.00392761958199	0.00617283950617	2.19474808443	2.0	293.333333333	0.0	66.6666666667
M896_030140	0.00202156890249	0.00274146695715	1.50833505324	3.02	984.0	0.0	240.0
M896_050300	0.0	0.0	None	0.0	340.0	0.0	95.0
M896_090220	0.000918144837348	0.00103896103896	0.47343387924	0.42	922.433333333	0.66	232.566666667
M896_091310	0.00261841305466	0.00357436801881	1.54637438617	0.32	742.333333333	2.72	202.666666667
M896_070190	0.00121056767938	0.00185185185185	1.90592935297	1.46	704.866666667	0.0	171.133333333
M896_091910	0.00095023054403	0.00122461170848	0.931581857715	0.5	591.0	0.32	153.0
M896_060320	0.00132391671303	0.00141489804411	0.263843761233	0.86	853.0	0.5	215.0
M896_121820	0.000650986671048	0.00102312257008	1.46363864356	0.5	426.333333333	0.0	116.666666667
M896_041970	0.00129279014454	0.00148612562406	0.63343039575	2.56	1523.36666667	0.0	390.633333333
M896_081540	0.00166248447915	0.00188124632569	0.567716495258	2.88	1354.56666667	0.0	346.433333333
M896_070560	0.000592103454571	0.000930578820026	1.46363864356	0.5	463.0	0.0	134.0
M896_080890	0.00123380719853	0.00178398293582	1.43863243595	0.5	455.666666667	0.42	117.333333333
M896_011430	0.00170766068782	0.00246913580247	1.78805407535	2.3	832.566666667	0.0	202.433333333
M896_070360	0.000969782612837	0.000914494741655	-0.183929414409	0.6	575.666666667	0.0	153.333333333
M896_011130	0.00125349561127	0.000945626477541	-0.942971440764	0.78	915.033333333	0.18	212.966666667
M896_081380	0.00128273734404	0.00135936869996	0.253037066406	1.88	1559.7	0.48	369.3
M896_012330	0.000942628699677	0.00133333333333	1.33722232031	0.42	604.0	0.48	146.0
M896_090130	0.00142534581604	0.00170250896057	0.699617375091	0.96	595.266666667	0.18	148.733333333
M896_041810	0.0014487121409	0.00227686703097	2.0567183502	0.5	584.666666667	1.0	147.333333333
M896_121910	0.001625221896	0.00204342273308	0.830171742068	0.8	348.8	0.0	86.2
M896_051040	0.000711238958509	0.00111781801923	2.0567183502	0.5	1187.0	1.0	304.0
