FUN_004868-T1 XP_014564222.1
FUN_004878-T1 XP_014563980.1
FUN_004879-T1 XP_014563108.1
FUN_004880-T1 XP_014564476.1
FUN_004897-T1 XP_014564402.1
FUN_004898-T1 XP_014564401.1
FUN_004902-T1 XP_014562836.1
FUN_004905-T1 XP_014564018.1
FUN_004911-T1 XP_014564329.1
FUN_004912-T1 XP_014564410.1
FUN_004913-T1 XP_014563676.1
FUN_004915-T1 XP_014564409.1
FUN_004916-T1 XP_014564407.1
FUN_004950-T1 XP_014564112.1
FUN_000008-T1 XP_014564506.1
FUN_000010-T1 XP_014564504.1
FUN_000014-T1 XP_014563663.1
FUN_000017-T1 XP_014564505.1
FUN_000018-T1 XP_014564502.1
FUN_000021-T1 XP_014564501.1
FUN_000024-T1 XP_014564503.1
FUN_000025-T1 XP_014564498.1
FUN_000027-T1 XP_014563025.1
FUN_000039-T1 XP_014564360.1
FUN_000059-T1 XP_014563959.1
FUN_000060-T1 XP_014564014.1
FUN_000061-T1 XP_014564626.1
FUN_000062-T1 XP_014563907.1
FUN_000065-T1 XP_014563595.1
FUN_000069-T1 XP_014563904.1
FUN_000070-T1 XP_014563905.1
FUN_000071-T1 XP_014563154.1
FUN_000072-T1 XP_014563903.1
FUN_000074-T1 XP_014563572.1
FUN_000075-T1 XP_014562885.1
FUN_000076-T1 XP_014563481.1
FUN_000078-T1 XP_014563906.1
FUN_000081-T1 XP_014563784.1
FUN_000082-T1 XP_014563786.1
FUN_000087-T1 XP_014564513.1
FUN_000100-T1 XP_014564511.1
FUN_000127-T1 XP_014562979.1
FUN_000129-T1 XP_014562977.1
FUN_000130-T1 XP_014562976.1
FUN_000133-T1 XP_014562981.1
FUN_000139-T1 XP_014564337.1
FUN_000145-T1 XP_014562973.1
FUN_000169-T1 XP_014562969.1
FUN_000180-T1 XP_014564006.1
FUN_000181-T1 XP_014564008.1
FUN_000182-T1 XP_014563966.1
FUN_000185-T1 XP_014564010.1
FUN_000187-T1 XP_014564015.1
FUN_000191-T1 XP_014563500.1
FUN_000192-T1 XP_014563499.1
FUN_000200-T1 XP_014564197.1
FUN_000201-T1 XP_014564011.1
FUN_000209-T1 XP_014564017.1
FUN_000213-T1 XP_014563607.1
FUN_000214-T1 XP_014564470.1
FUN_000215-T1 XP_014563789.1
FUN_000216-T1 XP_014564021.1
FUN_000219-T1 XP_014563364.1
FUN_000221-T1 XP_014564029.1
FUN_000222-T1 XP_014564030.1
FUN_000231-T1 XP_014564028.1
FUN_000232-T1 XP_014564446.1
FUN_000233-T1 XP_014564026.1
FUN_000252-T1 XP_014564037.1
FUN_000257-T1 XP_014564040.1
FUN_000262-T1 XP_014564042.1
FUN_000264-T1 XP_014564049.1
FUN_000269-T1 XP_014564052.1
FUN_000271-T1 XP_014564260.1
FUN_000272-T1 XP_014564314.1
FUN_000274-T1 XP_014564416.1
FUN_000294-T1 XP_014564184.1
FUN_000296-T1 XP_014564120.1
FUN_000304-T1 XP_014563104.1
FUN_000305-T1 XP_014564129.1
FUN_000325-T1 XP_014564132.1
FUN_000338-T1 XP_014564139.1
FUN_000341-T1 XP_014564140.1
FUN_000354-T1 XP_014564143.1
FUN_000359-T1 XP_014564147.1
FUN_000361-T1 XP_014564146.1
FUN_000371-T1 XP_014564612.1
FUN_000389-T1 XP_014564597.1
FUN_000391-T1 XP_014562963.1
FUN_000392-T1 XP_014563385.1
FUN_000393-T1 XP_014563732.1
FUN_000395-T1 XP_014564509.1
FUN_000397-T1 XP_014562914.1
FUN_000399-T1 XP_014563836.1
FUN_000405-T1 XP_014563840.1
FUN_000406-T1 XP_014563839.1
FUN_000410-T1 XP_014563618.1
FUN_000413-T1 XP_014563835.1
FUN_000415-T1 XP_014563677.1
FUN_000416-T1 XP_014563129.1
FUN_000419-T1 XP_014563831.1
FUN_000421-T1 XP_014563830.1
FUN_000422-T1 XP_014564462.1
FUN_000429-T1 XP_014563827.1
FUN_000430-T1 XP_014563829.1
FUN_000431-T1 XP_014563822.1
FUN_000435-T1 XP_014563821.1
FUN_000437-T1 XP_014564251.1
FUN_000443-T1 XP_014563896.1
FUN_000444-T1 XP_014563897.1
FUN_000445-T1 XP_014563898.1
FUN_000447-T1 XP_014563894.1
FUN_000451-T1 XP_014563889.1
FUN_000452-T1 XP_014563234.1
FUN_000458-T1 XP_014563733.1
FUN_000462-T1 XP_014563887.1
FUN_000464-T1 XP_014563884.1
FUN_000472-T1 XP_014563878.1
FUN_000474-T1 XP_014563865.1
FUN_000475-T1 XP_014563866.1
FUN_000476-T1 XP_014563867.1
FUN_000477-T1 XP_014563872.1
FUN_000478-T1 XP_014563871.1
FUN_000491-T1 XP_014563132.1
FUN_000503-T1 XP_014563861.1
FUN_000504-T1 XP_014563860.1
FUN_000505-T1 XP_014563870.1
FUN_000507-T1 XP_014563855.1
FUN_000509-T1 XP_014563530.1
FUN_000515-T1 XP_014563026.1
FUN_000521-T1 XP_014563020.1
FUN_000540-T1 XP_014563963.1
FUN_000541-T1 XP_014563482.1
FUN_000542-T1 XP_014562959.1
FUN_000544-T1 XP_014562958.1
FUN_000545-T1 XP_014562960.1
FUN_000547-T1 XP_014562954.1
FUN_000549-T1 XP_014562953.1
FUN_000555-T1 XP_014562939.1
FUN_000556-T1 XP_014562945.1
FUN_000557-T1 XP_014562903.1
FUN_000559-T1 XP_014562917.1
FUN_000560-T1 XP_014562911.1
FUN_000561-T1 XP_014564458.1
FUN_000562-T1 XP_014562910.1
FUN_000568-T1 XP_014563388.1
FUN_000576-T1 XP_014563083.1
FUN_000579-T1 XP_014564080.1
FUN_000582-T1 XP_014562905.1
FUN_000587-T1 XP_014562900.1
FUN_000590-T1 XP_014564404.1
FUN_000596-T1 XP_014562901.1
FUN_000607-T1 XP_014562907.1
FUN_000608-T1 XP_014562908.1
FUN_000614-T1 XP_014563169.1
FUN_000615-T1 XP_014562873.1
FUN_000618-T1 XP_014562876.1
FUN_000619-T1 XP_014564335.1
FUN_000622-T1 XP_014563802.1
FUN_000631-T1 XP_014564339.1
FUN_000642-T1 XP_014562889.1
FUN_000643-T1 XP_014564336.1
FUN_000645-T1 XP_014562891.1
FUN_000646-T1 XP_014562986.1
FUN_000649-T1 XP_014562863.1
FUN_000650-T1 XP_014562865.1
FUN_000651-T1 XP_014562864.1
FUN_000654-T1 XP_014563029.1
FUN_000658-T1 XP_014562894.1
FUN_000665-T1 XP_014562883.1
FUN_000669-T1 XP_014562896.1
FUN_000670-T1 XP_014562882.1
FUN_000672-T1 XP_014562859.1
FUN_000675-T1 XP_014564149.1
FUN_000676-T1 XP_014563592.1
FUN_000684-T1 XP_014562855.1
FUN_000690-T1 XP_014564605.1
FUN_000692-T1 XP_014562854.1
FUN_000694-T1 XP_014563265.1
FUN_000715-T1 XP_014564633.1
FUN_000716-T1 XP_014564480.1
FUN_000717-T1 XP_014563779.1
FUN_000735-T1 XP_014563803.1
FUN_000740-T1 XP_014564427.1
FUN_000743-T1 XP_014563882.1
FUN_000747-T1 XP_014563805.1
FUN_000751-T1 XP_014563807.1
FUN_000755-T1 XP_014563808.1
FUN_000756-T1 XP_014563810.1
FUN_000760-T1 XP_014564178.1
FUN_000761-T1 XP_014563813.1
FUN_000764-T1 XP_014563809.1
FUN_000768-T1 XP_014563960.1
FUN_000771-T1 XP_014564250.1
FUN_000772-T1 XP_014563845.1
FUN_000773-T1 XP_014564351.1
FUN_000776-T1 XP_014564355.1
FUN_000787-T1 XP_014564115.1
FUN_000789-T1 XP_014563683.1
FUN_000791-T1 XP_014564358.1
FUN_000793-T1 XP_014564365.1
FUN_000794-T1 XP_014563419.1
FUN_000796-T1 XP_014563062.1
FUN_000800-T1 XP_014563624.1
FUN_000801-T1 XP_014564383.1
FUN_000804-T1 XP_014564382.1
FUN_000807-T1 XP_014564385.1
FUN_000814-T1 XP_014564386.1
FUN_000815-T1 XP_014564364.1
FUN_000818-T1 XP_014564363.1
FUN_000826-T1 XP_014564356.1
FUN_000833-T1 XP_014563368.1
FUN_000838-T1 XP_014564366.1
FUN_000850-T1 XP_014564372.1
FUN_000854-T1 XP_014562966.1
FUN_000867-T1 XP_014564005.1
FUN_000886-T1 XP_014562993.1
FUN_000889-T1 XP_014564001.1
FUN_000901-T1 XP_014563045.1
FUN_000904-T1 XP_014562936.1
FUN_000909-T1 XP_014563992.1
FUN_000912-T1 XP_014563993.1
FUN_000925-T1 XP_014562955.1
FUN_000928-T1 XP_014563994.1
FUN_000929-T1 XP_014562918.1
FUN_000939-T1 XP_014563989.1
FUN_000941-T1 XP_014563605.1
FUN_000944-T1 XP_014563982.1
FUN_000945-T1 XP_014562869.1
FUN_000946-T1 XP_014564611.1
FUN_000947-T1 XP_014564274.1
FUN_000950-T1 XP_014562853.1
FUN_000957-T1 XP_014563159.1
FUN_000958-T1 XP_014563971.1
FUN_000959-T1 XP_014563973.1
FUN_000966-T1 XP_014563559.1
FUN_000971-T1 XP_014563466.1
FUN_000972-T1 XP_014563561.1
FUN_000978-T1 XP_014563566.1
FUN_000984-T1 XP_014563106.1
FUN_000988-T1 XP_014563844.1
FUN_000990-T1 XP_014563571.1
FUN_000991-T1 XP_014563573.1
FUN_000994-T1 XP_014563574.1
FUN_000998-T1 XP_014563121.1
FUN_000999-T1 XP_014564219.1
FUN_001018-T1 XP_014563494.1
FUN_001019-T1 XP_014563578.1
FUN_001022-T1 XP_014563537.1
FUN_001023-T1 XP_014563051.1
FUN_001026-T1 XP_014564330.1
FUN_001027-T1 XP_014562899.1
FUN_001030-T1 XP_014563535.1
FUN_001032-T1 XP_014563532.1
FUN_001033-T1 XP_014563531.1
FUN_001048-T1 XP_014563490.1
FUN_001062-T1 XP_014563521.1
FUN_001063-T1 XP_014563523.1
FUN_001065-T1 XP_014563250.1
FUN_001072-T1 XP_014563524.1
FUN_001076-T1 XP_014563242.1
FUN_001079-T1 XP_014563090.1
FUN_001080-T1 XP_014563519.1
FUN_001082-T1 XP_014563527.1
FUN_001083-T1 XP_014563030.1
FUN_001085-T1 XP_014563526.1
FUN_001086-T1 XP_014563798.1
FUN_001093-T1 XP_014564590.1
FUN_001095-T1 XP_014564231.1
FUN_001102-T1 XP_014563964.1
FUN_001115-T1 XP_014564623.1
FUN_001116-T1 XP_014564607.1
FUN_001123-T1 XP_014564285.1
FUN_001132-T1 XP_014563496.1
FUN_001135-T1 XP_014563497.1
FUN_001138-T1 XP_014564428.1
FUN_001139-T1 XP_014563506.1
FUN_001144-T1 XP_014563508.1
FUN_001146-T1 XP_014563111.1
FUN_001148-T1 XP_014563115.1
FUN_001166-T1 XP_014564295.1
FUN_001168-T1 XP_014563326.1
FUN_001170-T1 XP_014563249.1
FUN_001180-T1 XP_014564068.1
FUN_001181-T1 XP_014564195.1
FUN_001182-T1 XP_014564194.1
FUN_001183-T1 XP_014564193.1
FUN_001184-T1 XP_014564200.1
FUN_001185-T1 XP_014564199.1
FUN_001189-T1 XP_014564201.1
FUN_001191-T1 XP_014564067.1
FUN_001192-T1 XP_014564066.1
FUN_001200-T1 XP_014564065.1
FUN_001206-T1 XP_014563745.1
FUN_001209-T1 XP_014564482.1
FUN_001212-T1 XP_014564400.1
FUN_001213-T1 XP_014564183.1
FUN_001214-T1 XP_014564182.1
FUN_001219-T1 XP_014564180.1
FUN_001220-T1 XP_014563014.1
FUN_001222-T1 XP_014564177.1
FUN_001223-T1 XP_014563130.1
FUN_001230-T1 XP_014564179.1
FUN_001243-T1 XP_014562942.1
FUN_001244-T1 XP_014563693.1
FUN_001246-T1 XP_014564191.1
FUN_001251-T1 XP_014564174.1
FUN_001252-T1 XP_014564539.1
FUN_001253-T1 XP_014564173.1
FUN_001254-T1 XP_014564530.1
FUN_001255-T1 XP_014564171.1
FUN_001258-T1 XP_014564170.1
FUN_001259-T1 XP_014564169.1
FUN_001262-T1 XP_014563049.1
FUN_001289-T1 XP_014563583.1
FUN_001301-T1 XP_014563081.1
FUN_001314-T1 XP_014564165.1
FUN_001315-T1 XP_014564163.1
FUN_001316-T1 XP_014564162.1
FUN_001321-T1 XP_014564160.1
FUN_001324-T1 XP_014564157.1
FUN_001325-T1 XP_014564154.1
FUN_001327-T1 XP_014564290.1
