FUN_004868-T1 M896_020140
FUN_004878-T1 M896_041350
FUN_004879-T1 M896_100500
FUN_004880-T1 M896_010870
FUN_004897-T1 M896_010110
FUN_004898-T1 M896_010100
FUN_004902-T1 M896_120110
FUN_004905-T1 M896_041740
FUN_004911-T1 M896_021250
FUN_004912-T1 M896_010190
FUN_004913-T1 M896_050410
FUN_004915-T1 M896_010180
FUN_004916-T1 M896_010160
FUN_004950-T1 M896_030560
FUN_000008-T1 M896_011180
FUN_000010-T1 M896_011160
FUN_000014-T1 M896_050270
FUN_000017-T1 M896_011170
FUN_000018-T1 M896_011140
FUN_000021-T1 M896_011130
FUN_000024-T1 M896_011150
FUN_000025-T1 M896_011100
FUN_000027-T1 M896_110110
FUN_000039-T1 M896_021570
FUN_000059-T1 M896_041140
FUN_000060-T1 M896_041700
FUN_000061-T1 M896_012400
FUN_000062-T1 M896_040580
FUN_000065-T1 M896_060520
FUN_000069-T1 M896_040550
FUN_000070-T1 M896_040560
FUN_000071-T1 M896_090360
FUN_000072-T1 M896_040540
FUN_000074-T1 M896_060280
FUN_000075-T1 M896_120620
FUN_000076-T1 M896_070050
FUN_000078-T1 M896_040570
FUN_000081-T1 M896_051510
FUN_000082-T1 M896_051530
FUN_000087-T1 M896_011250
FUN_000100-T1 M896_011230
FUN_000127-T1 M896_121600
FUN_000129-T1 M896_121580
FUN_000130-T1 M896_121570
FUN_000133-T1 M896_121620
FUN_000139-T1 M896_021330
FUN_000145-T1 M896_121540
FUN_000169-T1 M896_121500
FUN_000180-T1 M896_041620
FUN_000181-T1 M896_041640
FUN_000182-T1 M896_041210
FUN_000185-T1 M896_041660
FUN_000187-T1 M896_041710
FUN_000191-T1 M896_070240
FUN_000192-T1 M896_070230
FUN_000200-T1 M896_031440
FUN_000201-T1 M896_041670
FUN_000209-T1 M896_041730
FUN_000213-T1 M896_060640
FUN_000214-T1 M896_010810
FUN_000215-T1 M896_051560
FUN_000216-T1 M896_041770
FUN_000219-T1 M896_080560
FUN_000221-T1 M896_041850
FUN_000222-T1 M896_041860
FUN_000231-T1 M896_041840
FUN_000232-T1 M896_010560
FUN_000233-T1 M896_041820
FUN_000252-T1 M896_041950
FUN_000257-T1 M896_041980
FUN_000262-T1 M896_042000
FUN_000264-T1 M896_042070
FUN_000269-T1 M896_042100
FUN_000271-T1 M896_020540
FUN_000272-T1 M896_021100
FUN_000274-T1 M896_010250
FUN_000294-T1 M896_031290
FUN_000296-T1 M896_030640
FUN_000304-T1 M896_100460
FUN_000305-T1 M896_030740
FUN_000325-T1 M896_030770
FUN_000338-T1 M896_030840
FUN_000341-T1 M896_030850
FUN_000354-T1 M896_030880
FUN_000359-T1 M896_030920
FUN_000361-T1 M896_030910
FUN_000371-T1 M896_012260
FUN_000389-T1 M896_012110
FUN_000391-T1 M896_121440
FUN_000392-T1 M896_080780
FUN_000393-T1 M896_050980
FUN_000395-T1 M896_011210
FUN_000397-T1 M896_120940
FUN_000399-T1 M896_052040
FUN_000405-T1 M896_052080
FUN_000406-T1 M896_052070
FUN_000410-T1 M896_060760
FUN_000413-T1 M896_052030
FUN_000415-T1 M896_050420
FUN_000416-T1 M896_090100
FUN_000419-T1 M896_051980
FUN_000421-T1 M896_051970
FUN_000422-T1 M896_010730
FUN_000429-T1 M896_051940
FUN_000430-T1 M896_051960
FUN_000431-T1 M896_051890
FUN_000435-T1 M896_051880
FUN_000437-T1 M896_020450
FUN_000443-T1 M896_040470
FUN_000444-T1 M896_040480
FUN_000445-T1 M896_040490
FUN_000447-T1 M896_040450
FUN_000451-T1 M896_040390
FUN_000452-T1 M896_091200
FUN_000458-T1 M896_050990
FUN_000462-T1 M896_040370
FUN_000464-T1 M896_040340
FUN_000472-T1 M896_040280
FUN_000474-T1 M896_040150
FUN_000475-T1 M896_040160
FUN_000476-T1 M896_040170
FUN_000477-T1 M896_040220
FUN_000478-T1 M896_040210
FUN_000491-T1 M896_090130
FUN_000503-T1 M896_040110
FUN_000504-T1 M896_040100
FUN_000505-T1 M896_040200
FUN_000507-T1 M896_040050
FUN_000509-T1 M896_070560
FUN_000515-T1 M896_110120
FUN_000521-T1 M896_110060
FUN_000540-T1 M896_041180
FUN_000541-T1 M896_070060
FUN_000542-T1 M896_121400
FUN_000544-T1 M896_121390
FUN_000545-T1 M896_121410
FUN_000547-T1 M896_121350
FUN_000549-T1 M896_121340
FUN_000555-T1 M896_121200
FUN_000556-T1 M896_121260
FUN_000557-T1 M896_120830
FUN_000559-T1 M896_120970
FUN_000560-T1 M896_120910
FUN_000561-T1 M896_010690
FUN_000562-T1 M896_120900
FUN_000568-T1 M896_080810
FUN_000576-T1 M896_100250
FUN_000579-T1 M896_030230
FUN_000582-T1 M896_120850
FUN_000587-T1 M896_120800
FUN_000590-T1 M896_010130
FUN_000596-T1 M896_120810
FUN_000607-T1 M896_120870
FUN_000608-T1 M896_120880
FUN_000614-T1 M896_090510
FUN_000615-T1 M896_120500
FUN_000618-T1 M896_120530
FUN_000619-T1 M896_021310
FUN_000622-T1 M896_051690
FUN_000631-T1 M896_021350
FUN_000642-T1 M896_120670
FUN_000643-T1 M896_021320
FUN_000645-T1 M896_120690
FUN_000646-T1 M896_121670
FUN_000649-T1 M896_120400
FUN_000650-T1 M896_120420
FUN_000651-T1 M896_120410
FUN_000654-T1 M896_110150
FUN_000658-T1 M896_120720
FUN_000665-T1 M896_120600
FUN_000669-T1 M896_120750
FUN_000670-T1 M896_120590
FUN_000672-T1 M896_120360
FUN_000675-T1 M896_030940
FUN_000676-T1 M896_060490
FUN_000684-T1 M896_120320
FUN_000690-T1 M896_012190
FUN_000692-T1 M896_120310
FUN_000694-T1 M896_091510
FUN_000715-T1 M896_012470
FUN_000716-T1 M896_010910
FUN_000717-T1 M896_051460
FUN_000735-T1 M896_051700
FUN_000740-T1 M896_010370
FUN_000743-T1 M896_040320
FUN_000747-T1 M896_051720
FUN_000751-T1 M896_051740
FUN_000755-T1 M896_051750
FUN_000756-T1 M896_051770
FUN_000760-T1 M896_031230
FUN_000761-T1 M896_051800
FUN_000764-T1 M896_051760
FUN_000768-T1 M896_041150
FUN_000771-T1 M896_020440
FUN_000772-T1 M896_052130
FUN_000773-T1 M896_021480
FUN_000776-T1 M896_021520
FUN_000787-T1 M896_030590
FUN_000789-T1 M896_050480
FUN_000791-T1 M896_021550
FUN_000793-T1 M896_021620
FUN_000794-T1 M896_081130
FUN_000796-T1 M896_100040
FUN_000800-T1 M896_060820
FUN_000801-T1 M896_021810
FUN_000804-T1 M896_021800
FUN_000807-T1 M896_021830
FUN_000814-T1 M896_021840
FUN_000815-T1 M896_021610
FUN_000818-T1 M896_021600
FUN_000826-T1 M896_021530
FUN_000833-T1 M896_080600
FUN_000838-T1 M896_021630
FUN_000850-T1 M896_021690
FUN_000854-T1 M896_121470
FUN_000867-T1 M896_041610
FUN_000886-T1 M896_121740
FUN_000889-T1 M896_041570
FUN_000901-T1 M896_110330
FUN_000904-T1 M896_121170
FUN_000909-T1 M896_041480
FUN_000912-T1 M896_041490
FUN_000925-T1 M896_121360
FUN_000928-T1 M896_041500
FUN_000929-T1 M896_120980
FUN_000939-T1 M896_041450
FUN_000941-T1 M896_060620
FUN_000944-T1 M896_041380
FUN_000945-T1 M896_120460
FUN_000946-T1 M896_012250
FUN_000947-T1 M896_020680
FUN_000950-T1 M896_120300
FUN_000957-T1 M896_090410
FUN_000958-T1 M896_041260
FUN_000959-T1 M896_041280
FUN_000966-T1 M896_060150
FUN_000971-T1 M896_081640
FUN_000972-T1 M896_060170
FUN_000978-T1 M896_060220
FUN_000984-T1 M896_100480
FUN_000988-T1 M896_052120
FUN_000990-T1 M896_060270
FUN_000991-T1 M896_060290
FUN_000994-T1 M896_060300
FUN_000998-T1 M896_090020
FUN_000999-T1 M896_020110
FUN_001018-T1 M896_070180
FUN_001019-T1 M896_060340
FUN_001022-T1 M896_070630
FUN_001023-T1 M896_110390
FUN_001026-T1 M896_021260
FUN_001027-T1 M896_120790
FUN_001030-T1 M896_070610
FUN_001032-T1 M896_070580
FUN_001033-T1 M896_070570
FUN_001048-T1 M896_070140
FUN_001062-T1 M896_070470
FUN_001063-T1 M896_070490
FUN_001065-T1 M896_091360
FUN_001072-T1 M896_070500
FUN_001076-T1 M896_091280
FUN_001079-T1 M896_100320
FUN_001080-T1 M896_070450
FUN_001082-T1 M896_070530
FUN_001083-T1 M896_110160
FUN_001085-T1 M896_070520
FUN_001086-T1 M896_051650
FUN_001093-T1 M896_012040
FUN_001095-T1 M896_020230
FUN_001102-T1 M896_041190
FUN_001115-T1 M896_012370
FUN_001116-T1 M896_012210
FUN_001123-T1 M896_020790
FUN_001132-T1 M896_070200
FUN_001135-T1 M896_070210
FUN_001138-T1 M896_010380
FUN_001139-T1 M896_070310
FUN_001144-T1 M896_070330
FUN_001146-T1 M896_100530
FUN_001148-T1 M896_100570
FUN_001166-T1 M896_020900
FUN_001168-T1 M896_080180
FUN_001170-T1 M896_091350
FUN_001180-T1 M896_030110
FUN_001181-T1 M896_031420
FUN_001182-T1 M896_031410
FUN_001183-T1 M896_031390
FUN_001184-T1 M896_031470
FUN_001185-T1 M896_031460
FUN_001189-T1 M896_031480
FUN_001191-T1 M896_030100
FUN_001192-T1 M896_030090
FUN_001200-T1 M896_030080
FUN_001206-T1 M896_051120
FUN_001209-T1 M896_010930
FUN_001212-T1 M896_010090
FUN_001213-T1 M896_031280
FUN_001214-T1 M896_031270
FUN_001219-T1 M896_031250
FUN_001220-T1 M896_121950
FUN_001222-T1 M896_031220
FUN_001223-T1 M896_090110
FUN_001230-T1 M896_031240
FUN_001243-T1 M896_121230
FUN_001244-T1 M896_050580
FUN_001246-T1 M896_031360
FUN_001251-T1 M896_031190
FUN_001252-T1 M896_011510
FUN_001253-T1 M896_031180
FUN_001254-T1 M896_011420
FUN_001255-T1 M896_031160
FUN_001258-T1 M896_031150
FUN_001259-T1 M896_031140
FUN_001262-T1 M896_110370
FUN_001289-T1 M896_060390
FUN_001301-T1 M896_100230
FUN_001314-T1 M896_031100
FUN_001315-T1 M896_031080
FUN_001316-T1 M896_031070
FUN_001321-T1 M896_031050
FUN_001324-T1 M896_031020
FUN_001325-T1 M896_030990
FUN_001327-T1 M896_020850
FUN_001329-T1 M896_031170
FUN_001331-T1 M896_121010
FUN_001335-T1 M896_031010
FUN_001370-T1 M896_081000
FUN_001371-T1 M896_080990
FUN_001375-T1 M896_080580
FUN_001377-T1 M896_021710
FUN_001396-T1 M896_081060
FUN_001409-T1 M896_011330
FUN_001410-T1 M896_080440
FUN_001424-T1 M896_011050
FUN_001431-T1 M896_042010
FUN_001443-T1 M896_050350
FUN_001460-T1 M896_011360
FUN_001470-T1 M896_060700
FUN_001472-T1 M896_060710
FUN_001473-T1 M896_060720
FUN_001474-T1 M896_060540
FUN_001483-T1 M896_120230
FUN_001500-T1 M896_060650
FUN_001502-T1 M896_060680
FUN_001521-T1 M896_060400
FUN_001525-T1 M896_020190
FUN_001526-T1 M896_030830
FUN_001529-T1 M896_060570
FUN_001537-T1 M896_041030
FUN_001538-T1 M896_012480
FUN_001568-T1 M896_012420
FUN_001569-T1 M896_012410
FUN_001572-T1 M896_012340
FUN_001579-T1 M896_012330
FUN_001580-T1 M896_012320
FUN_001592-T1 M896_040950
FUN_001596-T1 M896_020670
FUN_001597-T1 M896_120520
FUN_001598-T1 M896_020970
FUN_001599-T1 M896_012300
FUN_001600-T1 M896_012230
FUN_001606-T1 M896_031030
FUN_001607-T1 M896_030950
FUN_001617-T1 M896_070170
FUN_001618-T1 M896_012240
FUN_001619-T1 M896_012220
FUN_001620-T1 M896_010240
FUN_001624-T1 M896_020570
FUN_001626-T1 M896_011540
FUN_001627-T1 M896_012170
FUN_001628-T1 M896_012180
FUN_001632-T1 M896_012160
FUN_001662-T1 M896_081120
FUN_001697-T1 M896_012070
FUN_001725-T1 M896_021500
FUN_001726-T1 M896_100590
FUN_001727-T1 M896_021340
FUN_001728-T1 M896_091630
FUN_001731-T1 M896_121650
FUN_001735-T1 M896_020150
FUN_001739-T1 M896_030800
FUN_001743-T1 M896_012150
FUN_001745-T1 M896_020180
FUN_001769-T1 M896_010940
FUN_001783-T1 M896_091270
FUN_001786-T1 M896_020250
FUN_001797-T1 M896_020300
FUN_001805-T1 M896_020280
FUN_001832-T1 M896_020350
FUN_001834-T1 M896_081280
FUN_001838-T1 M896_020480
FUN_001842-T1 M896_020420
FUN_001847-T1 M896_020470
FUN_001866-T1 M896_020520
FUN_001867-T1 M896_020530
FUN_001879-T1 M896_012290
FUN_001881-T1 M896_120960
FUN_001885-T1 M896_010270
FUN_001888-T1 M896_020640
FUN_001894-T1 M896_040330
FUN_001901-T1 M896_020700
FUN_001903-T1 M896_020740
FUN_001904-T1 M896_020750
FUN_001905-T1 M896_020760
FUN_001938-T1 M896_020070
FUN_001940-T1 M896_020060
FUN_001942-T1 M896_020050
FUN_001945-T1 M896_031450
FUN_001946-T1 M896_100030
FUN_001950-T1 M896_030660
FUN_001953-T1 M896_041540
FUN_001954-T1 M896_020890
FUN_001956-T1 M896_020860
FUN_001962-T1 M896_050770
FUN_001964-T1 M896_090230
FUN_001966-T1 M896_080930
FUN_001973-T1 M896_010640
FUN_001976-T1 M896_010460
FUN_001980-T1 M896_020840
FUN_001981-T1 M896_110100
FUN_001997-T1 M896_010410
FUN_002001-T1 M896_012100
FUN_002005-T1 M896_121790
FUN_002011-T1 M896_021000
FUN_002015-T1 M896_021020
FUN_002019-T1 M896_021030
FUN_002020-T1 M896_021040
FUN_002021-T1 M896_080210
FUN_002022-T1 M896_010420
FUN_002029-T1 M896_081040
FUN_002047-T1 M896_021070
FUN_002057-T1 M896_021150
FUN_002058-T1 M896_021130
FUN_002059-T1 M896_021110
FUN_002060-T1 M896_021210
FUN_002065-T1 M896_021200
FUN_002081-T1 M896_020490
FUN_002086-T1 M896_021190
FUN_002088-T1 M896_021180
FUN_002089-T1 M896_021170
FUN_002116-T1 M896_080830
FUN_002117-T1 M896_021380
FUN_002126-T1 M896_021060
FUN_002137-T1 M896_031120
FUN_002138-T1 M896_121100
FUN_002144-T1 M896_021430
FUN_002149-T1 M896_091310
FUN_002173-T1 M896_011930
FUN_002174-T1 M896_011920
FUN_002178-T1 M896_011860
FUN_002179-T1 M896_011850
FUN_002180-T1 M896_011890
FUN_002193-T1 M896_011870
FUN_002195-T1 M896_060480
FUN_002197-T1 M896_011880
FUN_002199-T1 M896_011800
FUN_002207-T1 M896_051830
FUN_002209-T1 M896_080750
FUN_002214-T1 M896_011730
FUN_002215-T1 M896_070430
FUN_002217-T1 M896_011500
FUN_002218-T1 M896_011490
FUN_002220-T1 M896_020600
FUN_002234-T1 M896_011530
FUN_002237-T1 M896_011520
FUN_002245-T1 M896_091230
FUN_002246-T1 M896_010770
FUN_002247-T1 M896_080680
FUN_002252-T1 M896_010760
FUN_002254-T1 M896_040300
FUN_002274-T1 M896_060510
FUN_002280-T1 M896_051480
FUN_002298-T1 M896_051490
FUN_002300-T1 M896_031320
FUN_002301-T1 M896_030860
FUN_002302-T1 M896_031380
FUN_002303-T1 M896_011350
FUN_002306-T1 M896_091000
FUN_002307-T1 M896_110020
FUN_002308-T1 M896_020500
FUN_002312-T1 M896_060200
FUN_002313-T1 M896_042130
FUN_002317-T1 M896_120260
FUN_002319-T1 M896_051630
FUN_002323-T1 M896_050720
FUN_002327-T1 M896_011690
FUN_002328-T1 M896_011680
FUN_002341-T1 M896_060770
FUN_002342-T1 M896_100090
FUN_002348-T1 M896_011720
FUN_002362-T1 M896_011620
FUN_002365-T1 M896_011590
FUN_002366-T1 M896_011610
FUN_002369-T1 M896_011580
FUN_002372-T1 M896_011570
FUN_002393-T1 M896_090910
FUN_002394-T1 M896_030150
FUN_002396-T1 M896_060330
FUN_002397-T1 M896_030160
FUN_002399-T1 M896_121510
FUN_002401-T1 M896_030180
FUN_002416-T1 M896_030210
FUN_002417-T1 M896_030200
FUN_002419-T1 M896_080920
FUN_002422-T1 M896_052170
FUN_002449-T1 M896_120270
FUN_002455-T1 M896_121430
FUN_002462-T1 M896_020340
FUN_002463-T1 M896_121000
FUN_002466-T1 M896_020510
FUN_002467-T1 M896_120990
FUN_002483-T1 M896_121040
FUN_002484-T1 M896_121250
FUN_002499-T1 M896_121160
FUN_002506-T1 M896_121190
FUN_002507-T1 M896_121080
FUN_002512-T1 M896_120450
FUN_002515-T1 M896_120160
FUN_002517-T1 M896_121070
FUN_002522-T1 M896_120130
FUN_002524-T1 M896_020390
FUN_002525-T1 M896_121030
FUN_002527-T1 M896_091490
FUN_002531-T1 M896_080960
FUN_002534-T1 M896_120150
FUN_002537-T1 M896_011280
FUN_002544-T1 M896_040500
FUN_002547-T1 M896_120120
FUN_002548-T1 M896_120100
FUN_002549-T1 M896_040780
FUN_002556-T1 M896_120020
FUN_002557-T1 M896_120040
FUN_002559-T1 M896_060690
FUN_002565-T1 M896_091900
FUN_002569-T1 M896_090340
FUN_002573-T1 M896_030620
FUN_002575-T1 M896_040980
FUN_002583-T1 M896_040960
FUN_002584-T1 M896_090740
FUN_002585-T1 M896_030400
FUN_002586-T1 M896_091090
FUN_002588-T1 M896_021410
FUN_002594-T1 M896_021280
FUN_002611-T1 M896_121380
FUN_002612-T1 M896_120510
FUN_002615-T1 M896_040800
FUN_002618-T1 M896_110240
FUN_002623-T1 M896_040840
FUN_002625-T1 M896_040830
FUN_002630-T1 M896_040790
FUN_002632-T1 M896_041040
FUN_002635-T1 M896_040920
FUN_002638-T1 M896_030470
FUN_002639-T1 M896_030460
FUN_002640-T1 M896_051930
FUN_002643-T1 M896_030450
FUN_002646-T1 M896_030420
FUN_002647-T1 M896_030430
FUN_002649-T1 M896_120220
FUN_002651-T1 M896_040870
FUN_002656-T1 M896_030490
FUN_002657-T1 M896_060940
FUN_002658-T1 M896_081310
FUN_002660-T1 M896_040900
FUN_002661-T1 M896_030520
FUN_002664-T1 M896_011450
FUN_002669-T1 M896_040890
FUN_002671-T1 M896_040670
FUN_002672-T1 M896_120470
FUN_002673-T1 M896_020590
FUN_002674-T1 M896_040710
FUN_002676-T1 M896_051420
FUN_002677-T1 M896_010500
FUN_002678-T1 M896_040750
FUN_002687-T1 M896_040760
FUN_002688-T1 M896_040650
FUN_002689-T1 M896_040770
FUN_002690-T1 M896_040620
FUN_002691-T1 M896_040610
FUN_002695-T1 M896_030290
FUN_002696-T1 M896_030300
FUN_002697-T1 M896_030310
FUN_002698-T1 M896_030370
FUN_002699-T1 M896_120010
FUN_002701-T1 M896_041060
FUN_002702-T1 M896_041070
FUN_002703-T1 M896_041080
FUN_002704-T1 M896_041090
FUN_002705-T1 M896_041100
FUN_002709-T1 M896_041120
FUN_002710-T1 M896_070340
FUN_002732-T1 M896_040180
FUN_002745-T1 M896_010850
FUN_002750-T1 M896_010720
FUN_002751-T1 M896_010890
FUN_002752-T1 M896_050600
FUN_002763-T1 M896_010520
FUN_002777-T1 M896_010510
FUN_002783-T1 M896_021790
FUN_002787-T1 M896_010550
FUN_002788-T1 M896_011810
FUN_002792-T1 M896_010580
FUN_002795-T1 M896_121050
FUN_002796-T1 M896_100270
FUN_002798-T1 M896_010530
FUN_002800-T1 M896_010600
FUN_002803-T1 M896_010340
FUN_002804-T1 M896_010450
FUN_002806-T1 M896_010860
FUN_002819-T1 M896_010360
FUN_002820-T1 M896_020620
FUN_002822-T1 M896_010330
FUN_002824-T1 M896_010570
FUN_002828-T1 M896_021160
FUN_002830-T1 M896_010320
FUN_002835-T1 M896_030140
FUN_002837-T1 M896_120780
